::1 - Mon Oct 17 2022 09:43:58 GMT+0530 (India Standard Time) - GET /api/artist?type=&filter= HTTP/1.1 304 - - 3 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:45:23 GMT+0530 (India Standard Time) - OPTIONS /api/artist?type=&filter=b HTTP/1.1 200 8 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:45:23 GMT+0530 (India Standard Time) - GET /api/artist?type=&filter=b HTTP/1.1 200 68 - 20 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:45:25 GMT+0530 (India Standard Time) - OPTIONS /api/artist?type=&filter=c HTTP/1.1 200 8 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:45:25 GMT+0530 (India Standard Time) - GET /api/artist?type=&filter=c HTTP/1.1 200 68 - 4 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:45:28 GMT+0530 (India Standard Time) - OPTIONS /api/artist?type=&filter=f HTTP/1.1 200 8 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:45:28 GMT+0530 (India Standard Time) - GET /api/artist?type=&filter=f HTTP/1.1 200 68 - 3 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:46:55 GMT+0530 (India Standard Time) - OPTIONS /api/services HTTP/1.1 200 8 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:46:55 GMT+0530 (India Standard Time) - OPTIONS /api/testimonial HTTP/1.1 200 8 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:46:55 GMT+0530 (India Standard Time) - OPTIONS /api/clients/logo HTTP/1.1 200 8 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:46:55 GMT+0530 (India Standard Time) - GET /api/services HTTP/1.1 304 - - 3 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:46:55 GMT+0530 (India Standard Time) - GET /api/testimonial HTTP/1.1 304 - - 5 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:46:55 GMT+0530 (India Standard Time) - GET /api/clients/logo HTTP/1.1 304 - - 5 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:47:50 GMT+0530 (India Standard Time) - OPTIONS /api/services HTTP/1.1 200 8 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:47:50 GMT+0530 (India Standard Time) - OPTIONS /api/testimonial HTTP/1.1 200 8 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:47:50 GMT+0530 (India Standard Time) - OPTIONS /api/clients/logo HTTP/1.1 200 8 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:47:50 GMT+0530 (India Standard Time) - GET /api/services HTTP/1.1 304 - - 3 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:47:50 GMT+0530 (India Standard Time) - GET /api/testimonial HTTP/1.1 304 - - 3 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 09:47:50 GMT+0530 (India Standard Time) - GET /api/clients/logo HTTP/1.1 304 - - 3 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:07:12 GMT+0530 (India Standard Time) - OPTIONS /api/artwork-type HTTP/1.1 200 8 - 4 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:07:12 GMT+0530 (India Standard Time) - GET /api/artwork-type HTTP/1.1 304 - - 26 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:07:20 GMT+0530 (India Standard Time) - OPTIONS /volunteer-program HTTP/1.1 200 24 - 1 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:07:20 GMT+0530 (India Standard Time) - GET /volunteer-program HTTP/1.1 304 - - 3 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:07:31 GMT+0530 (India Standard Time) - OPTIONS /api/artwork-type HTTP/1.1 200 8 - 1 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:07:31 GMT+0530 (India Standard Time) - GET /api/artwork-type HTTP/1.1 304 - - 2 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:07:35 GMT+0530 (India Standard Time) - OPTIONS /volunteer-program HTTP/1.1 200 24 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:07:35 GMT+0530 (India Standard Time) - GET /volunteer-program HTTP/1.1 304 - - 2 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:08:08 GMT+0530 (India Standard Time) - OPTIONS /api/chitchat HTTP/1.1 200 4 - 0 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:08:10 GMT+0530 (India Standard Time) - POST /api/chitchat HTTP/1.1 500 58 - 1592 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
::1 - Mon Oct 17 2022 10:09:02 GMT+0530 (India Standard Time) - OPTIONS /api/chitchat HTTP/1.1 200 4 - 4 http://localhost:4200/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
